Short Title:,Full Title:,Author,Author Org,Full Abstract Text:,Status:,Classification:,Presenter Type:,Track,Session Category:,Presentation Req:,Seheduling Req:,Objectives:,Comments:,Bio,Topic1:
Advanced Electronic Technologies for Divers,"The application of advanced electronic technology in diver hand held systems, to increase diver capability, efficiency and safety, for both military and commercial divers.","Garrington, Jim",Shark Marine Technologies Inc.,"This presentation will cover new technologies available to divers in commercial, military or scientific roles that will provide them with more capabilities, and a safer work environment.

Off the shelf technology now exists to give divers the ability to see and work in zero visibility, detect and track buried objects, accurately navigate over large distances, inspect structures, as well as gather accurate bathymetric / hydrographic data.

This presentation will present an overview of these new technologies and provide examples of how they can be used by different types of divers to offer new services, as well as make existing jobs safer and more efficient.

This Presentation will deal with the following examples:

Commercial Diving;
Buried pipe and cable tracking, Structural inspections, searches

Military Diving
MCM operations, Rapid beach profiling, covert operations, SAR operations

Scientific diving
Archaeological mapping, bathymetry

Law Enforcement
SAR operations, Crime scene investigations",Plan to Accept,Contributed,MTS Member,Commercial Diving,Presentation,Standard A/V setup is fine.,None,"To educate divers both commercial and military, on new advancements that greatly enhance their underwater productivity and safety.",,"Jim Garrington is the founder and president of Shark Marine Technologies Inc. a Canadian company that has been creating innovative underwater technologies since 1984. As a diver, Jim's approach to underwater technology was from the inside out, encountering a need and creating a solution. Jim has had extensive experience in many faucets of underwater  operations including archeaology, bathymetric surveys, pipe locating and tracking, ROV piloting, drowned victim recoveries, port security and military mine countermeasures. He has has trained both military and commercial divers around the globe in the use of new underwater detection and navigation technology.",New Technology Used in Commercial Diving
Advancements in Pipeline Inspection with AUVs,Advancements in Pipeline Inspection with AUVs - results from field trials of the HUGIN AUV and the HISAS Synthetic Aperture Sonar,"Hancock, Chris","Kongsberg Underwater Technologies, Inc.","HUGIN and REMUS AUVs use advanced feature recognition algorithms, developed originally for mine-detection, to track subsea pipelines directly in sonar data in real time. This, combined with sensors such as multibeam echo sounder and high-resolution still camera, enables inspection of pipelines at a considerably higher speed, and thus lower cost, than traditional methods, while producing higher quality data. Kongsberg Maritime’s unique way of performing pipeline inspection with AUV involves two fully-autonomous passes along a pipeline. The first pass is run off to the side, and by using either high-resolution interferometric synthetic aperture sonar (HISAS) or conventional side scan sonar (SSS), a wide swath around the pipeline is mapped as the AUV automatically tracks the pipeline directly from the sonar data. This way, the pipeline’s actual position is determined and knowledge is gained about surrounding threats like anchors and trawling activity in a wide swath of up more than 200 meters.
The second pass is run directly over the pipeline at a low altitude, and accurate inspection data is collected with multibeam echo sounder and camera. By using high-resolution still camera and mosaic techniques, one avoids the massive over-sampling resulting from use of video-cameras, which makes data management easier. The still camera pictures are automatically and accurately geo-referenced in the AUV, removing the need for the time-consuming task of matching up video with ROV positioning data. Another significant cost reduction stems from the elimination of the support vessel normally used in traditional pipeline inspection with ROV.
In cases where a priori data about the pipeline’s position is poor, and where the pipeline may be partially buried, this concept exploits the wide swath afforded by the HISAS by increasing tracking robustness and reducing the need for lateral search patterns to reacquire partially buried pipelines.
In the fall of 2011, Kongsberg Maritime has integrated automatic tracking of pipelines directly from the multibeam echo sounder data, thereby adding an important capability in the toolbox available to the AUV operator. In cases where it is appropriate, this can remove the need for the first survey pass, and gives the operator more flexibility in how to design the inspection mission. This paper highlights recent test results from industry-funded technology demonstration trials conducted along pipelines in the North Sea.",Submitted for Review,,MTS Member,Use this to have your track assigned by conference chair,Presentation,,,Update on the latest AUV technology for conducting autonomous pipeline inspection by presenting data from recent field trials,,"After graduating with a B.S. in Industrial Engineering from University of Vermont in 1978, Chris Hancock took a commission in the NOAA Corp (National Oceanographic and Atmospheric Administration) where he received his formal training as a hydrographic surveyor and conducted field operations in Washington State, Alaska and Hawaii. After completing his service with NOAA, Chris continued building his offshore experience with several commercial survey companies, holding positions as hydrographic survey, sonar operator, researcher and project manager. Chris spent several years working offshore in the Bay of Campeche, Mexico while assigned to the Ciudad del Carmen office of Brown & Root, Inc. (Houston, Texas). After more than 10 years in the field, Chris transitioned back to engineering working in systems design, software development and mechanical design related to sonar and hydrographic data acquisition and processing systems, eventually holding positions as program manager and general manger with Kongsberg (formerly Simrad) and other firms. Now in sales and marketing, Chris has been involved in the academic, offshore and naval sectors of the marine industry with a global reach, including business development of markets in the United States, Asia, and Latin America. His current focus is on emerging applications of AUV technology in the offshore oil and gas sector.",Presentation on New or Advanced Technology
AEP Diving Contact Training Program,"Training Power Plant personnel to work with Divers:  AEP continues the ""Diving Contact"" training program and adds an Advanced Program for Mixed Gas Diving.","Hux, Will F.",MESCO/ Stroud Diving & Hydrography,"American Electric Power, a Sustaining Member of ADCI, continues to conduct training of its employees in the rules and regulations of commercial diving via OSHA, US Coast Guard and the ADCI Consensus Standards.  Training programs are conducted each year at selected AEP facilities for new students and re-qualifying Diving Contacts.  Criteria for becoming a Diving Contact at AEP is delineated in their program and requires each person to be nominated by management, complete the program and a written examination.  They serve in the program for a period of three years and must re-qualify by attending refresher training.  An AEP Diving Contact works directly with diving contractors at any AEP facility.  They are familiar with all diving regulations and the Consensus Standards, including Rev. 6, and can work the diving tables for repetitive dives, surface decompression on air or oxygen for example. Since they understand parts of our industry; they really make it easier for a diving contractor to communicate with them.  Dave Scarberry has been their Diving Coordinator and the originator of their program since inception and is responsible for its development and administration.  Will Hux is the instructor from MESCO/ Stroud Diving & Hydrography and wrote the training curriculum for the classroom portion of the training.  They make a strong team in presenting a safety program of which is an industry first.",Plan to Accept,,MTS Member,Commercial Diving,Presentation,"Screen - Projector and microphones for two presenters, please","Flexible schedule and can be placed at any time during the conference

NEED TO ADD C0-AUTHOR  DAVID SCARBERRY.  TAB ABOVE IS FROZEN.",Provide ADCI members with introduction and updates on the AEP training program for AEP's employees which work directly with ADCI member companies.  AEP is a sustaining member of ADCI and trains its employees on the ADCI Consensus standards so that they may understand commercial diving and work more safely with commercial diving companies.,,David Scarberry is the Program's Diving Coordinator and contact for AEP.  His career in welding with AEP and as a diving representative in both nuclear and hydroelectric plants spans over 25 years.  Will Hux is a mechanical engineer from Stroud Diving & Hydrography and MESCO.  He comes from a military and commercial diving environment.,Safety Advances & Education
Alternative CO2 Scrubber,An Alternative Method to Remove Carbon Dioxide From Submersible Environments,"Nuckols, Marshall",,"A major obstacle in the development of manned submersibles involves the removal of metabolically-produced carbon dioxide from the cabin environment, particularly during long-duration, cold water operations.  Traditional CO2 absorption methods utilized in underwater life support systems use alkali metal hydroxide chemical beds—mostly calcium hydroxide—which have been shown to have poor absorption efficiencies in cold environments.  Experimental evidence suggests that seawater, a readily accessible medium during submersible operations, could be a highly effective alternative scrubbing medium to remove metabolically-produced carbon dioxide.  Laboratory CO2 absorption trials are currently being conducted in a joint research effort between Duke University and the University of Bath in the United Kingdom, under sponsorship by the Office of Naval Research.  An overview of these absorption trials will be presented and the physical principles governing this absorption technique will be explained.   Alternative concept designs will be introduced and the suitability of these concepts for open and closed-circuit breathing systems will be discussed.",Submitted for Review,Contributed,MTS Member,Manned Underwater Vehicles,Presentation,None required.,,Review progress in the development of an alternative carbon dioxide absorption technology for underwater life support.,,"Dr. Nuckols joined the faculty at Duke University as Senior Research Scientist in October of 2004.  Prior to joining Duke, he served as a professor at the United States Naval Academy for 20 years while conducting research in underwater life support systems design. He earned a M.S.M.E., Mechanical Engineering, at Duke University in 1974.  He completed his Ph.D at Duke in 1981.",New Advanced Technologies for Manned Subs
Antipodes LRT Update,"Developing a Launch, Retrieval, and Transport System for Ocean Exploration","Sohnlein, Guillermo",OceanGate,"Since OceanGate acquired the Antipodes manned submersible (former PC-1501) two years ago, we have been deploying her on different missions in support of ocean exploration, marine research, filmmaking, and education and community outreach.  To expand our range of operations while simultaneously controlling costs, we have been developing a towable Launch, Retrieval, and Transport (LRT) system that will allow us to access more near-shore dive sites without the need for expensive support vessels.  We tested our first prototype in Southern California last fall, and we are currently developing the next version out of our headquarters in Seattle.  We plan to field-test this next system in Florida during early 2012, so this presentation will provide an update on our efforts and our future plans.",Submitted for Review,Contributed,MTS Member,Manned Underwater Vehicles,Presentation,,,,,,"MUV Updates, New Programs & Projects"
Artefact removal using small ROV's,Excavating and retrieving ancient artefacts from the seabed using a small but high performance hydraulic manipulator,"Glover, Wendy",Hydro-Lek Ltd,"Excavating and recovering ancient artefacts from the seabed demands precise and highly reliable equipment.  Florida-based RPM Nautical Foundation (RPMNF) has pushed the boundaries of maritime archaeology by performing the careful and precise work necessary for professional archaeology at depths beyond effective diver range.

To accomplish these goals, RPMNF uses an ROV fitted with two Hydro-lek multifunctional manipulator arms, most recently in the Egadi Islands off Sicily where they discovered warship rams that date back to the 3rd century BC.

This paper will provide an overview of how these Hydro-Lek manipulators were utilized in the recovery of not just these important archaeological artefacts but also in many other deep sea salvage operations.  It will also explain the design and operation of the hydraulic manipulator technology and how smaller ROV's can be empowered by the use of high performance subsea tooling.",Accptd pnding mat'l,Contributed,MTS Member,"Exploration, Research, and Presentations on Shipwrecks",Presentation,,,,,,Interesting Projects
Bathymetry and Biotope Surveys in the Red Sea,Using micro-ROV's to Conduct 200+ Km's of Bathymetry and Biotope Transect Surveys in the Red Sea,"Thorngren, Craig","Submerged Recovery & Inspection Services, LLC","During the summer of 2011, King Fahd University of Petroleum and Minerals was contracted by Saudi ARAMCO to conduct  an extensive surveys in the Red Sea where they wanted to conduct test drills for oil.  The survey was needed to complete a baseline assessment and to see if there were any critical habitat areas in or near the proposed well sights.
This presentation will cover the highlights and triumphs of a very ambitious expedition.
Some of the requirements for the tasking were an extremely tight work schedule, limited support facilities, accurate positioning for data collection and very specific data gathering.  Additionally, all of the work had to be conducted off of a 25’ Boston Whaler.
Due to these stringent requirements a VideoRay Pro4 ROV, KCF Technologies Smart Tether, LYYN Video Enhancement System and a  YSI  600XL Sonde Gauge were chosen to complete the survey.",Accptd pnding mat'l,Contributed,not MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,,Early to mid morning slot is needed since all of my afternoon's are already booked solid during UI2012,"To show how with a little ingenuity and a top performing ROV, almost any mission can be completed.",,"Chief Craig Thorngren, USCG (ret), Principal Submerged Recovery & Inspection Services LLC,
Senior Certified VideoRay, BlueView, KCF and LYYN Instructor

Chief Thorngren has more than 22 years of military service and 9 years of ROV operations experience.

Upon his retirement he was BlueView Technologies Field Operations and Training Supervisor.

He has since started his own highly successful company, Submerged Recovery & Inspection Services, LLC.

His knowledge and experience has been sought after by numerous government agencies and private companies to help in planning and executing complex operations using a micro-ROV",Use of Positioning Systems on small ROVs
Bluefin AUVs ROVs,ROVs and AUVs: Complementary Technologies for Underwater Intervention Tasks,"Elvander, Joshua",Bluefin Robotics,"Autonomous Underwater Vehicles (AUVs) and Remotely Operated Vehicles (ROVs) fill different niches within the underwater intervention task spectrum.  AUVs provide the capability for subsea inspection and survey on a variety of range scales and with multiple sensors, including sidescan and synthetic aperture sonar, sub-bottom profiling, multi-beam echosounding and still and video photography.  Small ROVs can provide inspection, repair and maintenance capabilities to assist the oil and gas industries in deep water environments.
Bluefin Robotics recently acquired the assets of Hawkes Remotes, Inc. (HRI), a spinoff from Hawkes Ocean Technologies (HOT) that develops advanced ROVs.  The HRI designs offer scalable, modular solutions including a thin, armored fiber-optic tether and on-board high-energy-density batteries that will reduce the total cost of ownership/operating costs while simultaneously outperforming existing ROV technology.  Bluefin will leverage their autonomy and subsea experience to add hybrid capabilities to the ROVs and offer them as an extension of their current product line to the oil and gas industry.  The presentation will show how the Bluefin/Hawkes capabilities in the AUV and ROV space provide complementary technologies that will enable a wide variety of underwater intervention tasks with a cost-effective footprint and low infrastructure support.",Submitted for Review,Contributed,MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,,,,,,
"Capping gulf oil well, high school style!","""Phorcys"", MATE 2011 Champion ROV Overview by Jesuit High School Robotics Team","Konstad, Rolf",Jesuit High School Robotics Team,"Jesuit High School successfully completed missions designed by the Marine Advanced Technology Education (MATE) Center to cap a flowing oil well and assess environmental damage, simulating the challenges that BP encountered in the gulf oil spill.  The MATE Center holds an annual ROV competition and hosts high school, college, and university teams from around the world.  The 2011 competition was held at the NASA Neutral Buoyancy Lab in Houston, Texas, adding the challenge of withstanding a depth of 40 feet.  The Jesuit High School Robotics Team, with a budget of $15,000 and a schedule of 20 workdays, manufactured the winning ROV with modular accessories specifically designed for each task, Ethernet communications, and a vectored control system.  This presentation will provide an overview of the ROV, including the design process, control system, accessories, and potential full scale applications.",Accptd pnding mat'l,Invited,MTS Member,Education and Academic Presentations,Presentation,"Table to display small ROV.
Please list student names in Biography section as author.   I'm just the coach...  :-).   If there are too many names, please list author as ""Jesuit High School Robotics Team Memebers""....or something similar.",Tues or Wednesday please.    Team needs to depart Thursday morning.,,,"•	Evan Arnold (senior, fourth year member) piloted the ROV “Phorcys” during the 2011 competition.  He is the Operations Manager for this year’s competition.
•	Spencer Breining-Aday (junior, second year member) machinist for the wellhead cap last year.  Spencer machines parts for manipulators on the ROV.
•	Joe Griffin (senior, fourth year member) assisted with the build process of the accessories and was part of the deck crew at NASA.  Joe is the Competition Manager for this season.
•	Chris Konstad (junior, third year member) programmed the electronics on the ROV and is now head of software development for the 2012 completion.
•	Nick Sopwith (sophomore, second year member) worked on the design and build of the wellhead cap.  Nick currently works as a microcontroller programmer.
•	Jesse Tambornini (junior, second year member) worked as a CAD designer.  Jesse still creates computer mockups of each component and now trains new members for future competitions.
•	Louis Styer (junior, third year member) maintains and updates the team website.  He now coordinates picture and video displays for the team on the website.
•	Drake Nylund (junior, third year member) created computer mockups of each ROV component and is transitioning to software development.
•	Alan Luu (senior, second year member) worked on the design and build of the wellhead cap.  This year Alan is leading the design and build of telemetry sensors.",Robotics and Engineering Competitions
Case Study of Remote Sensing in Construction,"A review of several imaging methods used in a recent construction project to monitor dredging, diving, and progress of a diffuser installation in black water.","Klein, Mark",S.T. Hudson Engineersin Inc,"To follow:

Scanning Sonar
Side scan sonar
hydrographic surveying
multibeam imaging sonar
Tri Tech
Kongsberg",,Invited,not MTS Member,Instruments and Sensors,Presentation,,,"To show solutions to challeneges found in underwater construction and engineering.  To share solutions with others, and show the abiltiy to solve challenges easily and safely with imaging tools.",,"to follow, use same from last year.",All types of Sonars for Searching or Identifying
